,title,author,release year,synopsis,book length,rating,number of ratings
0,Pride and Prejudice (Paperback),Jane Austen,1813,,,4.28,3732237
1,The Fault in Our Stars (Hardcover),John Green,2012,,,4.16,4501032
2,"Red, White & Royal Blue (Paperback)",Casey McQuiston,2019,,,4.16,607767
3,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,2005,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",498,3.63,5901197
4,The Hating Game (Paperback),Sally  Thorne,2016,"Nemesis (n.) 1) An opponent or rival whom a person cannot best or overcome;2) A person’s undoing;3) Joshua Templeman.Lucy Hutton and Joshua Templeman hate each other. Not dislike. Not begrudgingly tolerate. Hate. And they have no problem displaying their feelings through a series of ritualistic passive aggressive maneuvers as they sit across from each other, executive assi",365,3.98,537504
5,Beach Read (Paperback),Emily Henry,2020,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.They’re polar op",361,4.06,607628
6,The Kiss Quotient (Kindle Edition),Helen Hoang,2018,,,3.94,331121
7,It Ends with Us (Kindle Edition),Colleen Hoover,2016,,,4.38,1641804
8,The Love Hypothesis (Paperback),Ali Hazelwood,2021,"As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist,",356,4.29,724017
9,The Unhoneymooners (Paperback),Christina Lauren,2019,,,3.98,525789
10,People We Meet on Vacation (Paperback),Emily Henry,2021,"Two best friends. Ten summer trips. One last chance to fall in love.Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they li",373,3.97,658406
11,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,,,3.66,2327268
12,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,"From the #1 New York Times bestselling author of The Giver of Stars, discover the love story that captured over 20 million hearts in Me Before You, After You, and Still Me.They had nothing in common until love gave them everything to lose . . .Louisa Clark is an ordinary girl living an exceedingly ordinary life—steady boyfriend, close family—who has barely been farther afi",369,4.26,1436094
13,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,2006,,,3.57,1734961
14,Eleanor & Park (Hardcover),Rainbow Rowell,2012,"“Bono met his wife in high school,” Park says.“So did Jerry Lee Lewis,” Eleanor answers.“I’m not kidding,” he says.“You should be,” she says, “we’re 16.”“What about Romeo and Juliet?”“Shallow, confused, then dead.”“I love you,” Park says.“Wherefore art thou,” Eleanor answers.“I’m not kidding,” he says.“You should be.”Set over one school year in 1986, Eleanor & Park is the ",328,3.97,1066165
15,"Outlander (Outlander, #1)",Diana Gabaldon,1991,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in t",850,4.25,957461
16,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,2008,,,3.72,1544376
17,Ugly Love (Kindle Edition),Colleen Hoover,2014,,,4.22,929379
18,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,,,4.13,1537458
19,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,,,4.19,1141409
20,Book Lovers (Hardcover),Emily Henry,2022,"One summer. Two rivals. A plot twist they didn't see coming....Nora Stephens’ life is books—she’s read them all—and she is not that type of heroine. Not the plucky one, not the laidback dream girl, and especially not the sweetheart. In fact, the only people Nora is a heroine for are her clients, for whom she lands enormous deals as a cutthroat literary agent, and her belov",384,4.28,390789
21,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,2019,,,3.85,138781
22,Jane Eyre (Paperback),Charlotte Brontë,1847,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbiddin",532,4.14,1896342
23,The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,2017,,,4.47,1520986
24,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,2014,,,4.07,739461
25,"The Duke and I (Bridgertons, #1)",Julia Quinn,2000,"Librarian note: See alternate cover editions here and here.The Duke and I is a romance set in the Regency era.In the ballrooms and drawing rooms of Regency London, rules abound. From their earliest days, children of aristocrats learn how to address an earl and curtsey before a prince—while other dictates of the ton are unspoken yet universally understood. A proper duke sho",384,3.82,356433
26,"The Deal (Off-Campus, #1)",Elle Kennedy,2015,,,4.27,431337
27,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,2021,Catalina Martín desperately needs a date to her sister’s wedding. Especially since her little white lie about her American boyfriend has spiralled out of control. Now everyone she knows—including her ex and his fiancée—will be there and eager to meet him.She only has four weeks to find someone willing to cross the Atlantic and aid in her deception. New York to Spain is no ,487,3.97,377868
28,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011,,,3.83,837476
29,"The Flatshare (The Flatshare, #1)",Beth O'Leary,2019,"
Tiffy and Leon share a flatTiffy and Leon share a bedTiffy and Leon have never met…
Tiffy Moore needs a cheap flat, and fast. Leon Twomey works nights and needs cash. Their friends think they’re crazy, but it’s the perfect solution: Leon occupies the one-bed flat while Tiffy’s at work in the day, and she has the run of the place the rest of the time. But with obsessive ",394,4.04,276885
30,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,2010,,,3.99,429112
31,The Time Traveler's Wife (ebook),Audrey Niffenegger,2004,"This is the extraordinary love story of Clare and Henry, who met when Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry was thirty. Impossible but true, because Henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future. In the face of this force the",537,3.99,1703714
32,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011,"The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. Travis Maddox, lean, ",319,4.04,628815
33,Romeo and Juliet (Mass Market Paperback),William Shakespeare,1597,,,3.74,2376465
34,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,2019,"Khai Diep has no feelings. Well, he feels irritation when people move his things or contentment when ledgers balance down to the penny, but not big, important emotions—like grief. And love. He thinks he’s defective. His family knows better—that his autism means he just processes emotions differently. When he steadfastly avoids relationships, his mother takes matters into h",296,3.87,131144
35,"The Elite (The Selection, #2)",Kiera Cass,2013,,,3.97,645722
36,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,2000,"1814 promises to be another eventful season, but not, this author believes, for Anthony Bridgerton, London's most elusive bachelor, who has shown no indication that he plans to marry.And in truth, why should he? When it comes to playing the consummate rake, nobody does it better...—Lady Whistledown's Society Papers, April 1814But this time, the gossip columnists have it wr",354,4.04,259483
37,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,"The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas’s spellbinding A Court of Thorns and Roses.Feyre has undergone more trials than one human woman can carry in her heart. Though she’s now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of",624,4.62,816759
38,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012,,,3.84,795618
39,One Last Stop (Paperback),Casey McQuiston,2021,,,4.01,154210
40,Wuthering Heights (Paperback),Emily Brontë,1847,"You can find the redesigned cover of this edition HERE.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the ",464,3.88,1606402
41,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,2018,"Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?Charlie Spring is in Year 10 at Truham Grammar School for Boys. The past year hasn't been too great, but at least he's not being bullied anymore. Nick Nelson is in Year",288,4.53,430677
42,Sense and Sensibility (Paperback),Jane Austen,1811,"Alternate cover edition of ISBN 9780141439662'The more I know of the world, the more am I convinced that I shall never see a man whom I can really love. I require so much!'Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her",409,4.08,1092091
43,A Walk to Remember (Kindle Edition),Nicholas Sparks,1999,,,4.19,763488
44,"The One (The Selection, #3)",Kiera Cass,2014,,,4.17,574496
45,Fangirl (Kindle Edition),Rainbow Rowell,2013,,,3.98,695972
